id,topic1,topic2,topic3,published_year
Dynamic_Pushdown_Networks,Computer science,,,2025
Stratified_Datalog,Computer science,,,2025
Mission_Time_LTL_Formula_Progression,Computer science,,,2025
Pushdown_Systems,Computer science,,,2023
Labeled_Transition_Systems,Computer science,,,2023
MHComputation,Computer science,,,2023
Concentrated_Liquidity_Market_Making_Operations,Computer science,Algorithms,,2026
Set_Reconciliation,Computer science,Algorithms,,2025
BurrowsWheeler,Computer science,Algorithms,,2025
SuffixArray,Computer science,Algorithms,,2024
Karatsuba_Sqrt,Computer science,Algorithms,,2024
Parallel_Shear_Sort,Computer science,Algorithms,,2024
Alpha_Beta_Pruning,Computer science,Algorithms,,2024
Coppersmith_Method,Computer science,Algorithms,,2024
Top_Down_Solver,Computer science,Algorithms,,2024
LL1_Parser,Computer science,Algorithms,,2024
MFOTL_Checker,Computer science,Algorithms,,2024
QBF_Solver_Verification,Computer science,Algorithms,,2024
Karatsuba,Computer science,Algorithms,,2024
KnuthMorrisPratt,Computer science,Algorithms,,2023
Earley_Parser,Computer science,Algorithms,,2023
Efficient_Weighted_Path_Order,Computer science,Algorithms,,2023
Combinatorial_Enumeration_Algorithms,Computer science,Algorithms,,2022
Maximum_Segment_Sum,Computer science,Algorithms,,2022
FSM_Tests,Computer science,Algorithms,,2022
Prefix_Free_Code_Combinators,Computer science,Algorithms,,2022
VYDRA_MDL,Computer science,Algorithms,,2022
Gale_Shapley,Computer science,Algorithms,,2021
MDP-Algorithms,Computer science,Algorithms,,2021
Regression_Test_Selection,Computer science,Algorithms,,2021
PAC_Checker,Computer science,Algorithms,,2020
Sliding_Window_Algorithm,Computer science,Algorithms,,2020
MFODL_Monitor_Optimized,Computer science,Algorithms,,2020
Generalized_Counting_Sort,Computer science,Algorithms,,2019
VerifyThis2019,Computer science,Algorithms,,2019
Generic_Join,Computer science,Algorithms,,2019
Adaptive_State_Counting,Computer science,Algorithms,,2019
MFOTL_Monitor,Computer science,Algorithms,,2019
IMP2_Binary_Heap,Computer science,Algorithms,,2019
List_Inversions,Computer science,Algorithms,,2019
IMP2,Computer science,Algorithms,,2019
Auto2_Imperative_HOL,Computer science,Algorithms,,2018
Optimal_BST,Computer science,Algorithms,,2018
Hidden_Markov_Models,Computer science,Algorithms,,2018
Monad_Memo_DP,Computer science,Algorithms,,2018
VerifyThis2018,Computer science,Algorithms,,2018
First_Order_Terms,Computer science,Algorithms,,2018
Median_Of_Medians_Selection,Computer science,Algorithms,,2017
Knuth_Morris_Pratt,Computer science,Algorithms,,2017
Quick_Sort_Cost,Computer science,Algorithms,,2017
Comparison_Sort_Lower_Bound,Computer science,Algorithms,,2017
ROBDD,Computer science,Algorithms,,2016
CYK,Computer science,Algorithms,,2016
TortoiseHare,Computer science,Algorithms,,2015
Imperative_Insertion_Sort,Computer science,Algorithms,,2014
Boolean_Expression_Checkers,Computer science,Algorithms,,2014
Selection_Heap_Sort,Computer science,Algorithms,,2014
Efficient-Mergesort,Computer science,Algorithms,,2011
SATSolverVerification,Computer science,Algorithms,,2008
MuchAdoAboutTwo,Computer science,Algorithms,,2007
Approximate_Model_Counting,Computer science,Algorithms,Approximation,2024
Distributed_Distinct_Elements,Computer science,Algorithms,Approximation,2023
Frequency_Moments,Computer science,Algorithms,Approximation,2022
Approximation_Algorithms,Computer science,Algorithms,Approximation,2020
RG_Locks,Computer science,Algorithms,Concurrent,2025
ConcurrentGC,Computer science,Algorithms,Concurrent,2015
Sumcheck_Protocol,Computer science,Algorithms,Distributed,2024
Distributed_Distinct_Elements,Computer science,Algorithms,Distributed,2023
Progress_Tracking,Computer science,Algorithms,Distributed,2021
Chandy_Lamport,Computer science,Algorithms,Distributed,2020
WOOT_Strong_Eventual_Consistency,Computer science,Algorithms,Distributed,2020
Stellar_Quorums,Computer science,Algorithms,Distributed,2019
OpSets,Computer science,Algorithms,Distributed,2018
IMAP-CRDT,Computer science,Algorithms,Distributed,2017
CRDT,Computer science,Algorithms,Distributed,2017
Consensus_Refined,Computer science,Algorithms,Distributed,2015
Heard_Of,Computer science,Algorithms,Distributed,2012
Abortable_Linearizable_Modules,Computer science,Algorithms,Distributed,2012
ClockSynchInst,Computer science,Algorithms,Distributed,2006
